,user_a,user_b
638,"mày đi làm ở đâu, bển cần người hông","lotte, đủ người rồi mày"
639,có bồ chưa,chưa
640,có đi du học hông,cũng định
641,ba mẹ mày làm gì ở nhà,làm ruộng mày ơi
642,mày tên gì?,Hùng
643,bao tuổi,20
644,tên bạn là gì?,Lợi
645,bạn sinh năm bao nhiêu,1999
646,bạn sinh ra ở đâu?,"Phan Thiết, Bình Thuận."
647,nhà bạn có bao nhiêu thành viên?,4
648,sở thích của bạn là gì?,"chơi game, nghe nhạc,..."
649,bạn có chơi thể thao không?,bơi lội
650,bạn đang làm gì và ở đâu?,thành phố hcm và học công nghệ thông tin
651,mày tên gì?,Ly
652,bao tuổi,19
653,sinh năm nhiêu?,2001
654,sinh ngày mấy?,1 tháng 9
655,tên đầy đủ là gì?,Nguyễn Thị Ly Ly
656,mét mấy?,1m68
657,nhiêu kg?,45kg
658,Ê mày tên gì?,Tao tên là Mèo
659,Mày nhiêu tuổi rôi?,Tao năm nay 20 rồi.
660,Rồi mày cung gì?,Cung Kim Ngưu
661,Mày mệnh gì?,Mệnh kim hay sao á.
662,Mày cao bao nhiêu vậy?,mét sáu
663,Mày đang học trường nào vậy?,TDTU
664,Nhà mày ở đâu?,Sa Pa
665,mày tên gì?,Lễ
666,bao tuổi,21
667,ngành gì,công nghệ thông tin
668,sở thích,"nghe nhạc, chơi game, du lịch, thích được yêu, sự giàu có, ghét sự nhòm ngó, yêu hòa bình"
669,Ê mày,Gì
670,Cho tao hỏi cái,Hỏi đi
671,Nhóm tự chọn 3 cần nhiêu tín chỉ vậy,6
672,"Chết bà, tao lỡ học dư 4 tín chỉ rồi","Chắc chưa, coi lại đi"
673,Chắc,Vậy giờ sao
674,mày tên gì?,Hùng
675,bao tuổi,20
676,tên gì?,Đức
677,tuổi?,21
678,nhà ở đâu?,Hà Nội
679,có mấy anh chị em?,2
680,anh tên gì?,Đan
681,anh nhiêu tuổi?,21
682,đang ở đâu?,Thủ Đức
683,sống ở đâu?,Hồ Chí Minh
684,nặng nhiêu cân?,78
685,cao bao nhiêu?,1m82
686,thích ăn gì?,"cơm, cháo, phở"
687,học ở đâu?,Đại học Tôn Đức Thắng
688,quê ở đâu?,Quảng Ninh
689,có người yêu chưa?,chưa
690,thích uống gì?,cà phê sữa
691,thích chơi thể thao không?,có
692,chơi môn gì?,bóng rổ
693,biết chơi game không?,có
694,thích chơi game gì?,Liên minh huyền thoại
695,đi du lịch ở những nơi nào rồi?,"Quảng Ninh, Vũng Tàu, Long Hải, Q7, Q1, Q3,..."
696,nhà có nuôi chó hay mèo gì không?,có nuôi chó
697,chó gì?,Alaska
698,chó nhiêu tuổi,2
699,chó nặng nhiêu cân?,10
700,đang học ở chỗ nào?,"Đại học Tôn Đức Thắng, quận 7"
701,trường tiểu học tên gì?,Tam Bình
702,trường trung học cơ sở tên gì?,Tam Bình
703,học phổ thông ở đâu?,"Tam Phú, Thủ Đức"
704,học giỏi môn nào nhất?,không biết
705,thích học môn nào?,thể dục
706,đi nghĩa vụ quân sự chưa?,chưa
707,đang đi chơi hay ở nhà?,ở nhà
708,có bị bệnh gì không?,không
709,nhà giàu không?,không
710,đi xe gì?,wave alpha
711,thích tác phẩm nào nhất của Nam Cao?,Chí Phèo
712,rảnh hay làm gì?,"ngủ, xem youtube"
713,name?,Đức
714,old?,21
715,come frome?,Quảng Bình
716,học lớp 12 ở đâu?,Tam Phú
717,con trai hay con gái?,con trai
718,giới tính gì?,nam
719,học giỏi không?,bình thường
720,có đi làm chưa?,rồi
721,làm việc gì?,phục vụ
722,đang học hay làm?,vừa học vừa làm
723,đi đâu xa chưa?,rồi
724,Mày tên gì,Bảo
725,Học ngành nào,Công nghệ thông tin
726,Khóa mấy thế,k22
727,Chuyên nghành nào,Khoa học máy tính
728,Quê ở đâu,Sài Gòn
729,Có bạn gái chưa,Rồi
730,Nhà ở đâu,Quận 2
731,Sinh năm bao nhiêu,Năm 2000
732,Đi học bằng gì,Xe máy
733,Học kì trước đạt loại gì,Khá
734,Đang dùng laptop hãng nào,AUSUS
735,Dòng nào,Nitro 5
736,Dòng đó dùng thế nào,"Mượt, chạy tốt"
737,Mua lâu chưa,Năm ngoái
738,Có hãng nào tốt nữa không,MSI
739,Tầm giá bao nhiêu,Cỡ 19 đến 26 triệu
740,Core i mấy thì chạy tốt,i5 gen 10 trở lên
741,SSD có đắt không,Cũng không đắt
742,SSD bao nhiêu là tốt,256Gb trở lên là được
743,"ê mày là học sinh mới à, tên gì?","Trung, còn mày"
744,có bồ chưa cu?,chưa
745,ở tỉnh lên à?,không tao ở đây
746,trước học mạc đĩnh chi đúng không?,ừ sao mày biết
747,"tao là người mới, mong được giúp đỡ?",ừ
748,mày tên gì?,Hùng
749,bao tuổi,20
750,mày tên gì?,Hùng
751,bao tuổi,20
752,Tên?,Huy
753,Tuổi?,22
754,Làm gì?,Sinh viên
755,Làm ở đâu?,Đại học Tôn Đức Thắng
756,Chiều cao?,1m6
757,Sống ở đâu?,Đâu đó ở Việt Nam
758,Thích gì?,Ăn
759,mày tên gì?,Hùng
760,bao tuổi,20
761,nhà ở đâu,Long An
762,Nhà nhiêu người,4
763,Cha mày làm gì?,Nông
764,Mẹ mày làm gì?,Công nhân
765,học ngành gì?,Công nghệ thông tin
766,Thích đá banh không?,có
767,đi chơi không?,đi
768,mày tên gì?,Hùng
769,bao tuổi,21
770,Quê quán ?,thành phố Hồ chí minh
771,Sinh viên năm mấy ?,Năm 3
772,Ngành học ?,Công nghệ thông tin
773,Lý do chọn học tại dại học Tôn Dức thắng ?,Do đủ điểm vào đây
774,mày tên gì?,Hùng
775,bao tuổi,20
776,sống ở đâu?,Cà Mau
777,độc thân không?,có
778,học ở đâu?,TDTU
779,đang làm gì?,sinh viên
780,mày tên gì?,Hùng
781,bao tuổi,20
782,cao nhiêu,mét 7
783,nặng nhiêu,65 kí
784,mày tên gì?,Khải
785,bao tuổi,21
786,quê quán?,Thành phố Hồ Chí Minh
787,giàu nghèo?,Nghèo
788,công việc?,Lập trình viên
789,bồ bịch sao?,Ế
790,cao mét mấy?,Mét bảy
791,nặng nhiêu kí?,Tám chục
792,có béo phì không?,MỘt chút
793,khi nào giảm cân?,Nào rảnh đã
794,mày tên gì?,Tài
795,bao tuổi,21
796,quê quán?,Quảnng Ngãi
797,giàu nghèo?,Nghèo
798,công việc?,Chưa có
799,bồ bịch sao?,Chưa có
800,cao mét mấy?,1m75
801,nặng nhiêu kí?,98kg
802,có béo phì không?,có
803,khi nào giảm cân?,sắp tới rồi
804,mày tên gì?,Hỏi làm gì
805,bao tuổi,2k3
806,Nặng nhiu?,0.08 tấn
807,Cao nhiu?,3m chia đôi
808,mày tên gì?,Toàn
809,bao tuổi?,21
810,cao nhiêu?,1m80
811,nhiêu ký?,70
812,có bệnh gì không?,Không
813,mày tên gì?,Hùng
814,bao tuổi,20
815,mày tên gì?,Hùng
816,bao tuổi,20
817,Tên gì?,John Cena
818,chú bao nhiêu tuổi?,22 tuổi
819,nặng bao nhiêu ký?,70 ký
820,cao bao nhiêu mét?,1 mét 80
821,Mày tên gì?,Ngân
822,Bao tuổi?,18 thôi
823,Nặng nhiêu?,tầm 60kg
824,Mày cao mét mấy?,một mét sáu mươi
825,Mày là nam hay nữ?,nữ
826,mày tên gì?,Bảo
827,bao tuổi,21
828,Ông là ai?,Minh Thư (Vince)
829,Cao bao nhiểu?,mét 688
830,chiều cao?,1 mét 50
831,cân nặng?,45 kí
832,tên gì?,Đạt
833,có biệt danh gì không?,Không
834,ông tên gì á?,Tui tên Nam á
835,tui 20 tủi nek ông bao nhiu á?,Tui cũng 20 nèk
836,hmmmm ông chắc khoảng 65kg ha?,"hong, tui nặng lém"
837,ông cao bnhiu á?,tui cao 1m75 á
838,"nhìn ông cao quá ha, ông cao nhiu lận á???",tui cao 1m75 lận á
839,tên của bạn?,Phát
840,tuổi của bạn?,21
841,cao bao nhiêu?,1m7
842,mày tên gì?,Khanh
843,bao tuổi,20
844,nặng bao nhiêu kí?,56kg
845,Học trường nào?,ĐH TĐT
846,Có mua bằng không?,"100 triệu bằng cử nhân, 200 triệu bằng thạc sĩ, 100 tỷ làm phó hiệu trưởng"
847,mày tên gì?,Thụy
848,bao tuổi?,22
849,mày tên gì?,Bean
850,bao tuổi,20
851,mày tên gì?,Hùng
852,bao tuổi,20
853,mày tên gì?,t tên Loan
854,bao tuổi?,tui 20 tủi gòy
855,cao nhiêu?,tui m67
856,nặng nhiêu?,"hong nhớ nữa, tầm 56kg gì đó"
857,mày tên gì?,Hùng
858,bao tuổi,20
859,mày tên gì?,Tuấn
860,bao tuổi,21
861,mày tuổi giề?,tao tuổi thìn
862,Mày tên gì?,Tên Tín
863,Chứ quê mày ở đâu mà hôi cá quá vậy?,Vũng Tàu
864,Mày mấy tuổi rồi?,Bằng tuổi mày
865,Mày cao bao nhiêu mà nhìn lùn vậy?,Mày ngứa mỏ à
866,Mày nặng nhiêu kí?,Cũng chả nhớ chắc tầm 65 kí
867,mày tên gì ?,Nhơn
868,bao nhiêu tuổi ?,20
869,cao bao nhiêu ?,1m80
870,nặng nhiêu kí ?,70kg
871,có chơi thể thao không ?,có
872,mày tên gì?,tên Khoa
873,bao tuổi,21 tuổi
874,Cao bao nhiêu ?,1m8
875,nặng bao nhiêu ?,hỏi làm gì
876,Mày tên gì?,Giang
877,Tuổi mày bao nhiêu?,Tuổi Thìn.
878,Mày cao nhiêu?,Cao hơn mày
879,Mày nặng bao nhiêu?,100kg
880,Mày tên gì?,Giang
881,Tuổi mày bao nhiêu?,Tuổi Thìn.
882,Mày cao nhiêu?,Cao hơn mày
883,Mày nặng bao nhiêu?,100kg
884,Mày tên gì?,"Diiko, tui gay"
885,Nhiêu tuổi?,21
886,Trai hay gái?,Trai
887,Cao nhiêu?,1m80
888,Nặng nhiêu?,35kg
889,Mày tên gì ?,Điệp
890,Bao nhiêu tuổi?,12 tuổi
891,Có bồ chưa?,chưa
892,Cao nhiêu ?,nửa mét
893,Nhiêu kí?,50 kí
894,cho mình hỏi bạn tên gì?,"tớ tên Hùng, Phạm Mạnh Hùng"
895,bạn sinh năm nào?,mình sinh năm 2001
896,Tên gì?,Nguyễn Trần Nhật Đức
897,Nhiêu tuổi ?,20
898,Bao nhiêu cân ?,40kg
899,Cao bao nhiêu mét ?,1m68
900,Bạn đang tên gì vậy?,Mình tên Chupi
901,Hiện bạn bao nhiêu tuổi rồi ?,Mới 20
902,Bạn cao bao nhiêu vậy ?,Không biết hỏi chi
903,Bạn nặng bao nhiêu ?,Tao nặng nhiêu kệ tao chứ
904,Mày tên gì ?,Kidz
905,Nhiêu tuổi?,20 tuổi
906,Cao bao nhiêu ?,mét 7
907,Nhiêu kí?,80kg
908,bạn tên gì?,Nam
909,Bạn bao nhiêu tuổi,20
910,Họ và tên?,Nguyễn Thị Thu Huyền
911,Sinh năm nhiêu?,2000
912,"Chiều cao, cân nặng?","1m59, 51kg"
913,Số điện thoại là gì?,0782513xxx
914,Có biệt danh không?,Có.
915,Cho hỏi bạn tên gì?,Bưởi Bưởi
916,Mình có thể xin ngày sinh của bạn được không?,22/02/2000
917,Bạn cao mét bao nhiêu?,2met
918,Bạn cân nặng bao nhiêu?,50kg
919,Bạn bao nhiêu tuổi rồi?,20
920,tên gì?,"Tài, Dương Trọng Tài"
921,bao nhiêu tuổi?,20
922,cao bao nhiêu ?,1m68
923,ăn gì chưa ?,"ăn rồi, còn bạn?"
924,Bạn bao tuổi ?,20
925,Tên gì?,Tôi Tên là Khang
926,Cho xin mấy câu nha,"Ok bạn, mình là Anh Đoàn."
927,Tên gì ?,Mai dễ thương
928,Sinh năm nhiêu ?,Bằng Cún
929,Năng bao nhiêu ?,Bằng Cún
930,Cao mấy mét ?,Của m trừ đi 20cm
931,Bao nhiêu tuổi ?,Bằng Cún
932,Mày tên gì?,Phát
933,Bao tuổi?,20
934,cao bao nhiêu ?,1m7
935,Nặng ?,54kg
936,Số điện thoại?,0793736xxx
937,Nam hay nữ ?,nam
938,Mày tên gì?,Phát
939,Bao tuổi?,20
940,cao bao nhiêu ?,1m7
941,Nặng ?,54kg
942,Số điện thoại?,0793736xxx
943,Nam hay nữ ?,nam
944,Mày tên gì?,Phát
945,Bao tuổi?,20
946,cao bao nhiêu ?,1m7
947,Nặng ?,54kg
948,Số điện thoại?,0793736xxx
949,Nam hay nữ ?,nam
950,Mày tên gì ?,Minh
951,Bao nhiêu tuổi?,mười mấy tuổi rồi
952,Có bồ chưa?,mới chia tay
953,Cao nhiêu ?,mét 9
954,Nhiêu kí?,mấy chục
955,Bạn tên gì vậy?,Nam
956,Bạn bao nhiêu tuổi thế?,20
957,Bạn bao nhiêu kg?,72kg
958,Bạn cao bao nhiêu?,1m73
959,Trình độ học vấn?,12/12
960,cho mình hỏi bạn tên gì?,Khoa
961,bạn sinh năm nào?,2002
962,bạn cân nặng bao nhiêu?,100 kg
963,bạn có chiều cao bao nhiêu?,170cm
964,Bạn có bị khùng không?,khùng
965,Mày tên gì?,Kít
966,Tuổi mày bao nhiêu?,Tuổi Thìn.
967,Mày cao nhiêu?,Cao gấp đôi mài
968,Mày nặng bao nhiêu?,100kg
969,bạn tên gì?,Tý
970,bao tuổi?,22
971,ê nhiêu tuổi?,22
972,Bạn tên gì?,Mình tên Hạnh
973,Bạn nhiêu tuổi?,Tầm 20 tuổi
974,Bạn nhiêu kí?,52kg
975,Bạn cao nhiêu?,1m7
976,Tên?,Nguyên
977,Nhiêu tuổi?,20
978,Mét mấy?,mét tám
979,Nặng nhiêu cân?,75
980,Mày tên gì ?,Lộc
981,Bao nhiêu tuổi?,mười mấy 2 3 tuổi
982,Có bồ chưa?,Rồi
983,Cao nhiêu ?,mét 8
984,Nhiêu kí?,9 chục
985,cho mình hỏi bạn tên gì?,"tớ tên Hùng, Phạm Mạnh Hùng"
986,bạn sinh năm nào?,mình sinh năm 2001
987,mày tên gì?,Hùng
988,bao tuổi,20
989,có vợ chưa,chưa
990,mày cao mét mấy?,mét 74
991,mày nặng bao nhiêu?,70kg
992,chừng nào cưới vợ ?,không biết
993,mày tên gì?,Hùng
994,bao tuổi,20
995,Tên gì?,Khoa.
996,Khóa mấy?,17.
997,Học ngành gì?,CNTT.
998,Quên mày ở đâu?,TP. HCM.
999,Đù quận mấy?,Tân Bình.
1000,Đi từ nhà mày tới trường bao lâu?,Tầm nửa tiếng.
1001,mày tên gì?,Hùng
1002,bao tuổi?,20
1003,mày có vợ chưa?,chưa có nhé pro
1004,vợ mày bỏ mày chưa?,it's sad story
1005,mày muốn gì ở tao?,muốn bồ mày
1006,giờ mày muốn gì?,tao muốn tiền
1007,mày nghĩ mày là ai?,tao là tân tổng thống mỹ
1008,là một thằng đàn ông mày đã có chồng chưa?,có rồi nhé
1009,mày sẽ chọn cách chết như thế nào?,chết trên mặt trăng
1010,mày có muốn ăn thịt không?,thịt gà thì có mà thịt lợn thì không
1011,Bạn tên gì?,Quang
1012,Sinh năm nhiêu?,2001
1013,Nhiêu tuổi rồi?,20
1014,Từ đâu đến?,Hồ Chí Minh
1015,Làm việc gì?,Đang là sinh viên
1016,Học ngành gì?,Khoa học máy tính
1017,Trường nào?,Tôn Đức Thắng
1018,Ngành đó khó không?,Khá là khó
1019,Đang sống với ai?,Ba mẹ
1020,Có đi du lịch thường không?,Ít khi đi
1021,bạn tên gì?,tên Vân
1022,bạn nhiêu tuổi?,21 tuổi
1023,đang sống ở đâu?,TP.HCM
1024,bạn cung gì?,cung Song Ngư
1025,bạn sinh viên năm mấy?,năm 3
1026,học ở đâu?,TDTU
1027,Trường nào?,Tôn Đức Thắng
1028,Sinh sống?,Sinh ra và lớn lên tại TPHCM
1029,Sở thích?,Thời trang
1030,Tình trạng quan hệ?,Độc thân
1031,Thể thao yêu thích?,Cầu lông
1032,tên của bạn là gì?,Hùng
1033,bao nhiêu tuổi?,20
1034,bạn đang độc thân hay không?,không
1035,quê ở đâu?,Ninh Thuận
1036,nhà mấy người?,2
1037,học trường nào?,Tôn Đức Thắng
1038,làm ở đâu?,quận 1
1039,mày tên gì?,Hùng
1040,ba tên gì?,Thắng
1041,mẹ tên gì?,Ngân
1042,mày bao tuổi,20
1043,nhà ở đâu?,Bình Dương
1044,quê ở đâu?,Quảng Bình
1045,nhà mấy người?,4
1046,học trường nào?,Tôn Đức Thắng
1047,làm ở đâu?,quận 9
1048,Mày tên gì,Đức
1049,Nhà ở đâu,Bình Tân - bò nhiều hơn dân
1050,Có mấy anh chị em,3
1051,Sắp tốt nghiệp chưa,chưa
1052,nặng bao nhiêu kg,75
1053,mày tên gì?,Hùng
1054,bao tuổi,20
1055,Nhà ở đâu ?,Ở tim cậu
1056,Quê quán ?,Viêt Nam
1057,SĐT ?,019091019019
1058,mày tên gì?,Quang
1059,bao tuổi?,20
1060,Sinh ở đâu?,Hồ Chí Minh
1061,Đang làm nghề gì?,Công nghệ thông tin
1062,Đi làm chưa?,Đang thực tập thôi
1063,Đi làm vui không?,Cũng được.
1064,mày thích uống gì?,Trà Lipton
1065,mày thích ăn gì?,Rau muống xào tỏi.
1066,mày tên gì?,Hùng
1067,bao tuổi,20
1068,Quê ở đâu?,Sài Gòn
1069,Nickname facebook là gì?,Truc Nguyen
1070,Bao tuổi?,20
1071,Nơi ở?,Quận 7
1072,SĐT?,0977736413
1073,học ngành gì?,CNTT
1074,tên gì?,Cường
1075,Quê ở đâu ?,Tam kỳ
1076,bao nhiêu tuổi ?,25
1077,học trường nào ?,ĐH Tôn Đức Thắng
1078,khoa nào ?,CNTT
1079,Bạn tên gì?,Lan
1080,Bạn đang học ngành gì?,Kế toán
1081,Bạn đang là sinh vien năm mấy?,Sinh viên năm 4
1082,Bạn có chơi thể thao không?,Mình có tập yoga.
1083,Bạn ở thành phố hay tỉnh?,Mình ở thành phô.
1084,mày đang đâu đó?,quận 9
1085,mày năm nay bao nhiêu tuổi nhỉ?,sắp 22
1086,mày thì sắp 25 tuổi đúng không?,không nhé
1087,mày học ngành gì?,kỹ thuật phần mềm
1088,mày học ở quận mấy?,quận 7
1089,Nhà ở đâu?,Hồ Chí Minh
1090,Tên gì?,Nhí
1091,Mấy tuổi?,22
1092,Gia đình bao nhiêu người?,4
1093,Khoa nào?,Công Nghệ Thông Tin
1094,Ngành gì?,Khoa Học Máy Tính
1095,Học trường gì?,Trường đại học Tôn Đức Thắng
1096,mày tên gì?,Hùng
1097,bao tuổi,20
1098,mày tên gì?,Hùng
1099,bao tuổi,20
1100,Cho làm quen nhé,Ừ
1101,Thế cho xin số,0123456789
1102,mày tên gì?,Dương
1103,bao tuổi,21
1104,mày đang ở đâu?,Quận 7
1105,mày còn đi học không,còn
1106,mày học trường nào?,Đại học Tôn Đức Thắng
1107,mày học khoa nào?,Công nghệ thông tin
1108,mày học ngành gì,Kỹ thuật phần mềm
1109,mày học năm mấy rồi?,năm 4
1110,mày chuẩn bị ra trường chưa?,hết năm nay
1111,mày quê ở đâu?,Quảng Ngãi
1112,Mày tên gì?,Tên Nam
1113,Bao tuổi thế?,20 nha ml
1114,Thế nhà mày ở đâu?,Ở Gò Vấp nè
1115,Con một hả người anh em?,Có em trai nữa nha
1116,Mày học ở đâu?,Trường TDT quận 7 ấy
1117,Quao.. Ngàng gì thế?,Kĩ thuật phần mềm nha
1118,"Nghe hay đó, nào gặp nhau không?",Okay lun chứ
1119,Chị tên gì?,Nhi
1120,Sinh năm mấy?,1999
